loop,domain,checks,status,detail
5071,k1_first_run_path,11,PASS,Erststartpfad ok
5072,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
5073,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
5074,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
5075,k5_help_wiki,11,PASS,Wiki-Topic ok
5076,k6_text_quality,191,PASS,de: 40 Werte sauber
5077,k7_update_path,6,PASS,Update-Pfad ok
5078,k8_key_discipline,60,PASS,Schluesseldisziplin ok
5079,k9_dialog_invariants,1,PASS,savings_goal_messages.py: Invarianten ok
5080,k10_regression_shield,14,PASS,Regressionsschild intakt
5081,k1_first_run_path,11,PASS,Erststartpfad ok
5082,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
5083,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
5084,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
5085,k5_help_wiki,11,PASS,Wiki-Topic ok
5086,k6_text_quality,200,PASS,en: 40 Werte sauber
5087,k7_update_path,6,PASS,Update-Pfad ok
5088,k8_key_discipline,60,PASS,Schluesseldisziplin ok
5089,k9_dialog_invariants,7,PASS,savings_goals_dialog.py: Invarianten ok
5090,k10_regression_shield,14,PASS,Regressionsschild intakt
5091,k1_first_run_path,11,PASS,Erststartpfad ok
5092,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
5093,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
5094,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
5095,k5_help_wiki,11,PASS,Wiki-Topic ok
5096,k6_text_quality,200,PASS,fr: 40 Werte sauber
5097,k7_update_path,6,PASS,Update-Pfad ok
5098,k8_key_discipline,60,PASS,Schluesseldisziplin ok
5099,k9_dialog_invariants,3,PASS,setup_assistant_dialog.py: Invarianten ok
5100,k10_regression_shield,14,PASS,Regressionsschild intakt
5101,k1_first_run_path,11,PASS,Erststartpfad ok
5102,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
5103,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
5104,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
